"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88","TC_AT_POST_issue_with_time_limit","smoke","2026-06-19","passed","2026-06-19","Access Token — Issue (POST /api/access/issue)","api/smoke/access/access-token.smoke.spec.js","",""
"","2488","TC_LIV_004b_POST_UpdatePartialConfig","regression","2026-06-19","passed","2026-06-19","1b. CRUD adicional","api/regression/live/live-advanced.regression.spec.js","",""
"","81","TC_AD_REG_001_POST_Create_MissingName @negative","regression","2026-06-19","passed","2026-06-19","Ad — Regression","api/regression/ad/ad.regression.spec.js","",""
"","83","TC_CON_AT_001 POST /api/access/issue media happy path schema","contract","2026-06-19","passed","2026-06-19","Access Token — Contract","api/contract/access/access-token.contract.spec.js","",""
"","86","ID inexistente devuelve 404","smoke","2026-06-19","passed","2026-06-19","Ad - GET","api/smoke/ad/ad-crud.smoke.spec.js","",""
"","89","TC_AR_NEG_011_GET_InvalidIdFormat","smoke","2026-06-19","passed","2026-06-19","Access Restrictions - Smoke","api/smoke/access-restriction/access-restriction.smoke.spec.js","",""
"","82","ID inexistente devuelve 404","smoke","2026-06-19","passed","2026-06-19","Ad - Update","api/smoke/ad/ad-crud.smoke.spec.js","",""
"","2155","TC_LIV_015_POST_RemoveFavorite","regression","2026-06-19","passed","2026-06-19","4. Favoritos (toggle-bookmark)","api/regression/live/live-advanced.regression.spec.js","",""
"","587","TC_CST_GET_by_id_valid","smoke","2026-06-19","passed","2026-06-19","Customer — Get by ID (GET /api/customer?id=:id)","api/smoke/customer/customer.smoke.spec.js","",""
"","456","TC_CAT_REG_011_POST_Update_ParentCycle_Rejected @negative @critical","regression","2026-06-19","passed","2026-06-19","Category — Regression (backend gap coverage)","api/regression/category/category.regression.spec.js","",""
"","1974","TC_LIV_057_POST_StartRestream_NotFound @negative","regression","2026-06-19","passed","2026-06-19","Live Restream — Lifecycle (LIVE-RISK-007)","api/regression/live/live-restream.regression.spec.js","",""
"","2121","TC_LIV_014_POST_SetFavorite","regression","2026-06-19","passed","2026-06-19","4. Favoritos (toggle-bookmark)","api/regression/live/live-advanced.regression.spec.js","",""
"","331","TC_CUS_REG_007_POST_Create_SpecialCharsInName","regression","2026-06-19","passed","2026-06-19","Customer — Regression","api/regression/customer/customer.regression.spec.js","",""
"","85","TC_CUS_REG_004_POST_Create_NoToken @negative","regression","2026-06-19","passed","2026-06-19","Customer — Regression","api/regression/customer/customer.regression.spec.js","",""
"","383","TC_MED_003_POST_MissingTitle - title se auto-asigna","regression","2026-06-19","passed","2026-06-19","2b. Create Media - variantes","api/regression/media/media-advanced.regression.spec.js","",""
"","172","TC_LOG_003_POST_UpdateLogoPosition","regression","2026-06-19","passed","2026-06-19","Live Stream Logo API - Exhaustive Suite (Static Assets) > 1. Suite: Casos Positivos y Persistencia","api/regression/live/live-logo.regression.spec.js","",""
"","2393","TC_SCH_007_POST_UpdateScheduleJob_HappyPath @critical","regression","2026-06-19","passed","2026-06-19","Schedule - Regression","api/regression/schedule/schedule-advanced.regression.spec.js","",""
"","88","TC_AT_POST_issue_with_ip_param","smoke","2026-06-19","passed","2026-06-19","Access Token — Issue (POST /api/access/issue)","api/smoke/access/access-token.smoke.spec.js","",""
"","2045","TC_LIV_061_POST_Update_InvalidGeo @negative","regression","2026-06-19","passed","2026-06-19","12. Validación geo + not-found (LIVE-RISK-001/012)","api/regression/live/live-advanced.regression.spec.js","",""
"","153","TC_LIV_059_POST_Create_InvalidGeo @negative","regression","2026-06-19","passed","2026-06-19","12. Validación geo + not-found (LIVE-RISK-001/012)","api/regression/live/live-advanced.regression.spec.js","",""
"","86","TC-009: Error con datos inválidos","regression","2026-06-19","passed","2026-06-19","Cupones - POST avanzado","api/regression/cupones/cupones-advanced.regression.spec.js","",""
